Task: 1, Test Name: Search field is displayed, DOM Id: DIV__customsear__41, Browser: Chrome, Viewport: 1200X700, Device: Laptop, Status: Pass
Task: 1, Test Name: Search icon is displayed, DOM Id: I__headericon__44, Browser: Chrome, Viewport: 1200X700, Device: Laptop, Status: Pass
Task: 1, Test Name: Main menu is displayed, DOM Id: DIV__mainmenu__15, Browser: Chrome, Viewport: 1200X700, Device: Laptop, Status: Pass
Task: 1, Test Name: Logo is displayed, DOM Id: IMG____9, Browser: Chrome, Viewport: 1200X700, Device: Laptop, Status: Pass
Task: 1, Test Name: Access link is displayed, DOM Id: A__accesslink__56, Browser: Chrome, Viewport: 1200X700, Device: Laptop, Status: Pass
Task: 1, Test Name: Wishlist is displayed, DOM Id: A__wishlist__52, Browser: Chrome, Viewport: 1200X700, Device: Laptop, Status: Pass
Task: 1, Test Name: Cart is displayed, DOM Id: A__cartbt__49, Browser: Chrome, Viewport: 1200X700, Device: Laptop, Status: Pass
Task: 1, Test Name: Filter is displayed, DOM Id: filter_col, Browser: Chrome, Viewport: 1200X700, Device: Laptop, Status: Pass
Task: 1, Test Name: Viewgrid option is displayed, DOM Id: I__tiviewgrid__203, Browser: Chrome, Viewport: 1200X700, Device: Laptop, Status: Pass
Task: 1, Test Name: Viewlist option is displayed, DOM Id: I__tiviewlist__205, Browser: Chrome, Viewport: 1200X700, Device: Laptop, Status: Pass
Task: 1, Test Name: Footer is displayed, DOM Id: DIV__container__419, Browser: Chrome, Viewport: 1200X700, Device: Laptop, Status: Pass
Task: 1, Test Name: Search field is displayed, DOM Id: DIV__customsear__41, Browser: Firefox, Viewport: 1200X700, Device: Laptop, Status: Pass
Task: 1, Test Name: Search icon is displayed, DOM Id: I__headericon__44, Browser: Firefox, Viewport: 1200X700, Device: Laptop, Status: Pass
Task: 1, Test Name: Main menu is displayed, DOM Id: DIV__mainmenu__15, Browser: Firefox, Viewport: 1200X700, Device: Laptop, Status: Pass
Task: 1, Test Name: Logo is displayed, DOM Id: IMG____9, Browser: Firefox, Viewport: 1200X700, Device: Laptop, Status: Pass
Task: 1, Test Name: Access link is displayed, DOM Id: A__accesslink__56, Browser: Firefox, Viewport: 1200X700, Device: Laptop, Status: Pass
Task: 1, Test Name: Wishlist is displayed, DOM Id: A__wishlist__52, Browser: Firefox, Viewport: 1200X700, Device: Laptop, Status: Pass
Task: 1, Test Name: Cart is displayed, DOM Id: A__cartbt__49, Browser: Firefox, Viewport: 1200X700, Device: Laptop, Status: Pass
Task: 1, Test Name: Filter is displayed, DOM Id: filter_col, Browser: Firefox, Viewport: 1200X700, Device: Laptop, Status: Pass
Task: 1, Test Name: Viewgrid option is displayed, DOM Id: I__tiviewgrid__203, Browser: Firefox, Viewport: 1200X700, Device: Laptop, Status: Pass
Task: 1, Test Name: Viewlist option is displayed, DOM Id: I__tiviewlist__205, Browser: Firefox, Viewport: 1200X700, Device: Laptop, Status: Pass
Task: 1, Test Name: Footer is displayed, DOM Id: DIV__container__419, Browser: Firefox, Viewport: 1200X700, Device: Laptop, Status: Pass
Task: 1, Test Name: Search field is displayed, DOM Id: DIV__customsear__41, Browser: Safari, Viewport: 1200X700, Device: Laptop, Status: Pass
Task: 1, Test Name: Search icon is displayed, DOM Id: I__headericon__44, Browser: Safari, Viewport: 1200X700, Device: Laptop, Status: Pass
Task: 1, Test Name: Main menu is displayed, DOM Id: DIV__mainmenu__15, Browser: Safari, Viewport: 1200X700, Device: Laptop, Status: Pass
Task: 1, Test Name: Logo is displayed, DOM Id: IMG____9, Browser: Safari, Viewport: 1200X700, Device: Laptop, Status: Pass
Task: 1, Test Name: Access link is displayed, DOM Id: A__accesslink__56, Browser: Safari, Viewport: 1200X700, Device: Laptop, Status: Pass
Task: 1, Test Name: Wishlist is displayed, DOM Id: A__wishlist__52, Browser: Safari, Viewport: 1200X700, Device: Laptop, Status: Pass
Task: 1, Test Name: Cart is displayed, DOM Id: A__cartbt__49, Browser: Safari, Viewport: 1200X700, Device: Laptop, Status: Pass
Task: 1, Test Name: Filter is displayed, DOM Id: filter_col, Browser: Safari, Viewport: 1200X700, Device: Laptop, Status: Pass
Task: 1, Test Name: Viewgrid option is displayed, DOM Id: I__tiviewgrid__203, Browser: Safari, Viewport: 1200X700, Device: Laptop, Status: Pass
Task: 1, Test Name: Viewlist option is displayed, DOM Id: I__tiviewlist__205, Browser: Safari, Viewport: 1200X700, Device: Laptop, Status: Pass
Task: 1, Test Name: Footer is displayed, DOM Id: DIV__container__419, Browser: Safari, Viewport: 1200X700, Device: Laptop, Status: Pass
Task: 1, Test Name: Search field is displayed, DOM Id: DIV__customsear__41, Browser: Chrome, Viewport: 768X700, Device: Tablet, Status: Pass
Task: 1, Test Name: Search icon is displayed, DOM Id: I__headericon__44, Browser: Chrome, Viewport: 768X700, Device: Tablet, Status: Pass
Task: 1, Test Name: Main menu is displayed, DOM Id: DIV__mainmenu__15, Browser: Chrome, Viewport: 768X700, Device: Tablet, Status: Fail
Task: 1, Test Name: Logo is displayed, DOM Id: IMG____9, Browser: Chrome, Viewport: 768X700, Device: Tablet, Status: Pass
Task: 1, Test Name: Access link is displayed, DOM Id: A__accesslink__56, Browser: Chrome, Viewport: 768X700, Device: Tablet, Status: Pass
Task: 1, Test Name: Wishlist is displayed, DOM Id: A__wishlist__52, Browser: Chrome, Viewport: 768X700, Device: Tablet, Status: Pass
Task: 1, Test Name: Cart is displayed, DOM Id: A__cartbt__49, Browser: Chrome, Viewport: 768X700, Device: Tablet, Status: Pass
Task: 1, Test Name: Filter is displayed, DOM Id: filter_col, Browser: Chrome, Viewport: 768X700, Device: Tablet, Status: Fail
Task: 1, Test Name: Viewgrid option is displayed, DOM Id: I__tiviewgrid__203, Browser: Chrome, Viewport: 768X700, Device: Tablet, Status: Pass
Task: 1, Test Name: Viewlist option is displayed, DOM Id: I__tiviewlist__205, Browser: Chrome, Viewport: 768X700, Device: Tablet, Status: Pass
Task: 1, Test Name: Footer is displayed, DOM Id: DIV__container__419, Browser: Chrome, Viewport: 768X700, Device: Tablet, Status: Pass
Task: 1, Test Name: Search field is displayed, DOM Id: DIV__customsear__41, Browser: Firefox, Viewport: 768X700, Device: Tablet, Status: Pass
Task: 1, Test Name: Search icon is displayed, DOM Id: I__headericon__44, Browser: Firefox, Viewport: 768X700, Device: Tablet, Status: Pass
Task: 1, Test Name: Main menu is displayed, DOM Id: DIV__mainmenu__15, Browser: Firefox, Viewport: 768X700, Device: Tablet, Status: Fail
Task: 1, Test Name: Logo is displayed, DOM Id: IMG____9, Browser: Firefox, Viewport: 768X700, Device: Tablet, Status: Pass
Task: 1, Test Name: Access link is displayed, DOM Id: A__accesslink__56, Browser: Firefox, Viewport: 768X700, Device: Tablet, Status: Pass
Task: 1, Test Name: Wishlist is displayed, DOM Id: A__wishlist__52, Browser: Firefox, Viewport: 768X700, Device: Tablet, Status: Pass
Task: 1, Test Name: Cart is displayed, DOM Id: A__cartbt__49, Browser: Firefox, Viewport: 768X700, Device: Tablet, Status: Pass
Task: 1, Test Name: Filter is displayed, DOM Id: filter_col, Browser: Firefox, Viewport: 768X700, Device: Tablet, Status: Fail
Task: 1, Test Name: Viewgrid option is displayed, DOM Id: I__tiviewgrid__203, Browser: Firefox, Viewport: 768X700, Device: Tablet, Status: Pass
